Compliance Status,DPDP Requirement,Rule Ref,Infra Controls Needed / Existing,Where,Priority,Responsible,Comments,Final Deadline,Impacted services /device list,Business impact,Effort estimate (man-days)," Cost Estimate 
(On-time) "," Cost Estimate
(Annual) ",Notes
,Encryption missing on endpoints,Rule 6(a),Enable BitLocker/FileVault,Endpoints,High,IT Infra,Endpoints must be encrypted,,,,60-90, -   , -   ,BitLocker deployment + recovery key mgmt
,Server encryption missing,Rule 6(a),Enable disk encryption,On-prem Servers,High,Infra/Server Team,Servers host PII,,,,30-60, -   , -   ,Enable Windows/Linux disk encryption - Also impact analysis on apps and backups
,VPN without MFA,Rule 6(b),Enable MFA for VPN,Firewall/VPN,High,Network,Mandatory MFA,,,,8–10, -   ," 150,000 ",FortiToken Mobile for 200 users
,RDP/SSH no MFA,Rule 6(b),MFA on RDP/SSH,Servers,High,Infra,Critical access,,,,15-20," 150,000 ", -   ,Jump server + MFA integration
,Legacy OS,Rule 6(g),Upgrade OS,Servers,High,Infra,EOL OS,,,,30-60," 900,000 ", -   ,Upgrade 15 windows servers
,Firewall logs <12 months,Rule 6(e),Increase retention,Firewalls,High,Network,Need 12 months,,,,5–7, -   ," 30,000 ",Expand retention on forti analyzer
,SIEM retention <12 months,Rule 6(e),Expand storage,SIEM,High,Security,Need 1yr logs,,,,60-90," 8,00,000 "," 1,050,000 ",3-node OpenSearch + Wazuh cluster + Experienced SIEM Engineer
,Old RV042 routers,Rule 6(g),Replace routers,Branches,High,Network,Outdated,,,,30-60, -   ," 390,000 ",Rental 40E routers for 13 branches
,Zimbra no MFA,Rule 6(b),Add MFA / Migrate,Email,High,IT/Security,No MFA,,,,20–30, -   ," 310,000 ",Migrate 200 users to M365
,Redmail outdated,Rule 6(b),Upgrade/replace,Email,High,IT,Legacy email,,,,20-30, -   , -   ,Internal mail migration to Zimbra
,No DR runbook,Rule 6(d),Create DR runbook,Infra/DR,High,Infra,Required,,,,12–15, -   , -   ,Documentation only
,No DR environment,Rule 6(d),Create DR infra,Infra,High,Leadership,Backup≠DR,,,,-, -   , -   ,Not in business scope (NA)
,No vendor DPDP agreements,Rule 6(f),Sign contracts,Vendors,High,Legal/IT,Processor obligations,,,,10–12, -   , -   ,Vendor qualification + DPA
,No 72hr breach workflow,Rule 7,Create SOP,Security,High,Security,Mandatory,,,,4–5, -   , -   ,Create breach handling SOP (Enhance incident management SOP)
,No endpoint baseline,Rule 6(g),Implement CIS baseline,Endpoints,Medium,IT,Hardening needed,,,,120-180, -   , -   ,CIS Lite baseline scripting and bring all endpoints to same baseline
,Privileged access periodic only,Rule 6(c),Continuous monitoring,Servers,Medium,Security,Admin logs missing,,,,8–10, -   , -   ,Enable sudo/admin logs in Wazuh
,Restore tests yearly only,Rule 6(d),Quarterly tests,Backups,Medium,Infra,Increase frequency,,,,10, -   , -   ,Quarterly restore evidence
,No Conditional Access,Rule 6(b),Implement CA,Azure AD,Medium,Identity,Stronger MFA,,,,-, -   , -   ,DPDP impact low; MFA sufficient
,No PAM,Rule 6(b),Deploy PAM,Infra,Medium,Security,Privileged control,,,,12–18," 150,000 ", -   ,Need to explore options
,Network segmentation,Rule 6(g),VLAN segmentation,Network,Low,Network,"Segregation active, DMZ to be implemeted",Achieved (Partial),,,-, -   , -   ,
,SIEM implemented,Rule 6(c),Wazuh SIEM active,Logs,Medium,Security,Needs 12-month retention,Achieved (Partial),,,-, -   , -   ,
,Restore tests yearly,Rule 6(d),Annual restore test,Backups,Medium,Infra,Needs quarterly,Achieved (Partial),,,-, -   , -   ,
,Endpoint MFA enabled,Rule 6(b),Windows Hello MFA,Endpoints,Low,IT,MFA already enforced,Achieved,,,, -   , -   ,
,USB / Device Control implemented,Rule 6(g),Device Control Active,Endpoints,Low,IT/Security,USB blocked,Achieved,,,,,,
,Local admin rights removed,Rule 6(b),Privilege restrictions,Endpoints,Low,IT,Least privilege,Achieved,,,,,,
,SSL Inspection enabled,Rule 6(g),Fortigate SSL inspection,Firewall,Low,Network,Traffic inspected,Achieved,,,,,,
,IPS/IDS enabled,Rule 6(g),Fortigate IPS/IDS,Firewall,Low,Network,Threat detection,Achieved,,,,,,
,DKIM/DMARC/SPF configured,Rule 6(g),Email security configured,Email,Low,IT/Security,Domain protection,Achieved,,,,,,
,Microsoft 365 MFA enabled,Rule 6(b),MFA on cloud accounts,Identity,Low,IT,Compliant,Achieved,,,,,,
,Legacy Authentication blocked,Rule 6(b),Legacy auth disabled,Identity,Low,IT,Enhanced protection,Achieved,,,,,,
,Admin roles reviewed,Rule 6(c),Privileged logging,Identity,Low,Security,Meets requirement,Achieved,,,,,,
,Server room access control,Rule 6(g),Controlled entry,Physical,Low,Admin/IT,Secure access,Achieved,,,,,,
,CCTV coverage,Rule 6(g),CCTV active,Physical,Low,Admin,Compliant,Achieved,,,,,,
,UPS/Power backup,Rule 6(d),UPS maintained,Physical,Low,Admin/IT,Redundancy,Achieved,,,,,,
,Secure hardware disposal,Rule 6(g),Secure wipe/shredding,Physical,Low,IT,Compliant,Achieved,,,,,,
,Daily backups enabled,Rule 6(d),Automated backups,Backups,Low,Infra,Backup successful,Achieved,,,,,,
,Backup encryption,Rule 6(a),Encrypted backup sets,Backups,Low,Infra,Compliant,Achieved,,,,,,
,Offsite backups,Rule 6(d),Cloud/offsite backup,Backups,Low,Infra,Redundancy,Achieved,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
