Compliance Status,DPDP Requirement,Rule Ref,Infra Controls Needed / Existing,Where,Priority,Timeline (days),Responsible,Notes,Final Deadline,Impacted services /device list,Business impact,Effort estimate,Cost Estimate
,Privacy Notice Display,"Rule 3(b), Rule 3(c)","Show privacy notice with purpose, retention, rights",App Frontend,High,,App Team,Mandatory before data collection,,,,,
,Consent Capture,Rule 3(b),Capture consent within app,App Frontend,High,,App Team,Must record explicit consent,,,,,
,Consent Withdrawal,Rule 14,Allow easy consent withdrawal,App UI,High,,App/Backend,Required under DPDP,,,,,
,Purpose Limitation,Rule 3(b),Enforce business logic to restrict purpose,Backend,High,,Dev/Backend,Use only declared purpose,,,,,
,Data Minimization,Rule 3(b),Remove unnecessary fields,Backend,High,,App/Backend,Mandatory,,,,,
,Strong Authentication,Rule 6(b),Integrate SSO/MFA,Auth Module,High,,App/Identity,Strong auth required,,,,,
,RBAC,Rule 6(b),Implement role-based access,App Auth,High,,App Team,Restrict PII by role,,,,,
,Remove Shared Accounts,Rule 6(b),Unique IDs only,App IAM,High,,App/IT,Shared logins forbidden,,,,,
,Session Timeout,Rule 6(b),Implement auto logout,App Auth,Medium,,App Team,Security control,,,,,
,Input Validation,Rule 6(g),SQLi/XSS protection,API/App,High,,Dev Team,Critical requirement,,,,,
,API Authentication,Rule 6(g),OAuth2/Token-based protection,API Layer,High,,API Team,Required,,,,,
,Rate Limiting,Rule 6(g),Enable rate limits,API Gateway,Medium,,API Team,Prevents automated abuse,,,,,
,App Activity Logging,Rule 6(c),Enable CRUD logs,App Logs,High,,App Team,Audit trail required,,,,,
,Failed Login Logging,Rule 6(c),Track failed attempts,App Logs,High,,App Team,Security requirement,,,,,
,Log Retention 1 Year,Rule 6(e),Retain logs for 12 months,Log Storage,High,,Security/IT,Mandatory,,,,,
,SIEM Integration,Rule 6(c),Forward logs to SIEM,App Logs,Medium,,Security,Monitoring requirement,,,,,
,Data Deletion Workflow,Rule 8,Enable delete pipeline,Backend,High,,App/Backend,User right,,,,,
,Data Correction,Rule 14,Allow user corrections,App UI,Medium,,App Team,DPDP right,,,,,
,Data Export,Rule 14,Provide downloadable data,Backend,Medium,,App Team,Mandatory under DPDP,,,,,
,Grievance/DPO Display,Rule 9,Show DPO details,Frontend,High,,App Team,Mandatory display,,,,,
,Secure Dev Practices,Rule 6(g),Secure SDLC,DevOps,Medium,,DevSecOps,T&O control,,,,,
,Static Code Scanning,Rule 6(g),Enable SAST,DevSecOps,Medium,,Security/Dev,Required,,,,,
,Vulnerability Scanning,Rule 6(g),App vulnerability scans,DevSecOps,Medium,,Security,Required,,,,,
,Pre-release Security Test,Rule 6(g),Perform security UAT,QA,Medium,,QA/Sec,Required,,,,,
,HTTPS/TLS,Rule 6(a),Enforce TLS 1.2+,App,High,,App/Network,Encryption,,,,,
,Secrets in Vault,Rule 6(a),Store secrets securely,DevOps,High,,DevOps,Avoid hardcoding,,,,,
,Application Data Flow Map,Rule 6(g),Document flows,Architecture,Medium,,App Team,Mandatory mapping,,,,,
,No Prod Data in UAT,Rule 6(g),Mask PII,Testing,High,,QA/Dev,Mandatory,,,,,
,CAPTCHA,Rule 6(g),Add CAPTCHA,App UI,Low,,App Team,Prevents bot attacks,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
