S. No,Nudge Title,Nudge,Development Prompt (for system / AI to generate action)
1,Policies Pending Issuance,14 policies are pending issuance from insurer. Follow-up to expedite.,“Identify policies where placement is completed but issuance is pending. Recommend following up with insurer teams for faster issuance.”
2,Policy Documents Not Uploaded,11 issued policies do not have policy document uploaded. Add documents for compliance.,“Fetch issued policies where policy documents are missing in the system. Prompt user to upload soft copies for compliance and servicing.”
3,Held Cover Notes Expiring,6 held cover notes are expiring within the next 7 days. Convert to final policy.,“Locate policies with held cover notes nearing expiration. Suggest initiating final policy issuance with insurer.”
4,Endorsements Pending,9 policies have pending endorsement requests. Complete endorsements to avoid servicing delays.,“Fetch policies with open endorsement requests. Recommend completing pending endorsements or following up with insurers.”
5,Unassigned Policy Owners,4 policies do not have assigned owners/CRM. Allocate responsible user.,“Identify policies without assigned ownership (CRM/Servicing). Suggest allocating responsible users to ensure ongoing servicing.”
6,Premium Payment Pending,7 policies have pending premium payments. Follow up with client/finance team.,“Fetch policies awaiting premium payment confirmation. Prompt user to follow up for payment collection and update.”
7,Policy Renewal Due Soon,18 policies are due for renewal within next 30 days. Initiate renewal process.,“Identify policies with renewal dates in next 30 days. Recommend creating renewal opportunities and reaching out to clients.”
8,Policy Lapsed / At Risk,3 policies are at risk of lapse due to non-payment or delay. Take urgent action.,“Locate policies flagged as ‘at risk’ or ‘lapsed’. Suggest initiating urgent communication to revive or reinstate policy.”
9,Missing Policy Schedule,5 policies do not have policy schedule uploaded. Update records.,“Identify policies missing schedule documents. Recommend uploading schedules for complete policy documentation.”
10,Claims Reported but No FNOL Logged,4 policies have reported claims but no FNOL recorded. Log FNOL immediately.,“Fetch policies with claims reported externally but missing FNOL in system. Suggest logging FNOL and starting claim workflow.”
11,Policies Without Sum Insured Details,8 policies have incomplete sum insured details. Update SI values to maintain accuracy.,“Locate policies missing Sum Insured details. Suggest updating SI fields for premium accuracy and reporting.”
12,Insurer Mapping Missing,3 policies are missing insurer mapping or incorrect insurer name. Correct mapping required.,“Identify policies with missing/incorrect insurer IDs. Recommend updating insurer mapping for correct reconciliation.”
13,Commission Not Received,10 policies issued >30 days ago have no commission entries yet. Follow up with insurer.,“Fetch policies older than 30 days without commission received. Suggest following up with insurer for commission statement.”
14,Premium Register Mismatch,6 policies mismatch with insurer premium register. Review and reconcile.,“Locate policies not found/mismatched in insurer premium register. Recommend reconciliation through RCON process.”
15,Policy End Date Approaching,12 policies will end within 15 days. Alert client for next steps.,“Identify policies with end dates in next 15 days. Suggest sending alerts to client and initiating renewal discussion.”
16,Policy with Missing Risk Details,"7 policies have incomplete risk information (vehicle, member count, assets). Update details.",“Fetch policies missing risk details. Recommend completing risk attributes for better analytics and compliance.”
,,,
