S. No,Nudge Title,Nudge,Development Prompt (for system / AI to generate action)
1,RSR Creation Pending,9 renewal opportunities are due for RSR creation. Complete RSR to initiate renewal workflow.,“Identify renewal opportunities where RSR Creation is pending. Recommend creating the RSR to formally start the renewal process.”
2,Renewal KDM Meeting Pending,6 renewal opportunities require KDM meetings. Schedule meetings to finalize mandate renewal.,“Fetch renewal opportunities without completed KDM meetings. Suggest scheduling Renewal KDM Meetings with clients.”
3,Mandate Entry Pending,7 renewals have not completed Mandate Details Entry. Update mandate info to proceed with RFP.,“Locate renewal cases missing Mandate Details Entry. Prompt users to enter mandate details to progress the renewal opportunity.”
4,RFP Data Collection Pending,10 renewals have incomplete RFP data. Complete data to move to ISG planning.,“Fetch renewals where RFP Data Collection or RFP Details Entry is incomplete. Suggest updating missing fields to enable ISG planning.”
5,ISG Planning Delays,4 renewals are pending ISG planning. Initiate ISG discussions for timely slip creation.,“Identify renewals awaiting ISG planning. Recommend initiating ISG processes to prepare for broking slip generation.”
6,Broking Slip Not Generated,8 renewals are ready for broking slips but not generated. Complete the slip to progress quoting.,“Find renewals where prerequisites are complete but broking slip not generated. Suggest generating slips to proceed to quote entry.”
7,Quotes Not Entered,5 renewals have broking slips generated but quotes not entered. Update quotes to move ahead.,“Identify renewal opportunities with broking slips but no quote entry. Recommend entering quotes for QCR generation.”
8,QCR Pending,3 renewals need QCR generation. Complete QCR to proceed with negotiation.,“Locate renewals with quotes entered but QCR not generated. Suggest completing QCR to move into negotiation stage.”
9,Negotiation Stalled,6 renewals have been in negotiation for over 10 days. Follow up to avoid renewal leakage.,“Fetch renewal opportunities stuck in negotiation beyond TAT. Recommend follow-up with clients or insurers to revive movement.”
10,Placement Slip Pending,4 renewals have completed negotiation but placement slip is not created. Generate slip to proceed.,“Identify renewals where negotiation is done but placement slip is pending. Suggest generating placement slip immediately.”
11,Premium Calculation Pending,3 renewals require premium calculation for closure. Complete calculations to finalize renewal.,“Fetch renewal opportunities where placement slip exists but premium calculation is pending. Recommend completing premium calculation.”
12,Held Cover Note Pending,2 renewals have premium calculated but held cover note not issued. Issue cover note to avoid delays.,“Locate renewals needing Held Cover Note issuance. Prompt user to generate the cover note.”
13,Policy Documentation Pending,5 renewal opportunities have pending Policy Docket/Doclet. Complete documentation for closure.,“Fetch renewals awaiting policy documentation. Suggest completing policy docket/doclet to finalize renewal.”
14,Upcoming Renewals This Month,12 renewals are due within the next 30 days. Prioritize engagement.,"“Identify upcoming renewals within 30 days. Recommend initiating renewal discussions, data updates, and follow-ups.”"
15,At-Risk Renewals,4 renewals are marked high risk due to pricing or competitor pressure. Take corrective action.,"“Locate renewals marked as high risk. Recommend reviewing pricing, benefits, or competitive strategy to reduce leakage.”"
16,Renewal Follow-Up Required,9 renewal opportunities have no follow-up in 7+ days. Engage clients to avoid drop-off.,“Fetch renewals with no recent engagement. Suggest follow-up actions to keep the renewal cycle active.”
17,High-Value Renewals Pending Action,3 high-value renewals (> ₹50L) require immediate attention. Prioritize engagement.,“Identify high-value renewal opportunities needing action. Recommend prioritizing communication and required updates.”
18,Renewal Lead Conversion Opportunity,7 renewal leads have become qualified for cross-sell. Move them into New Opportunity stage.,“Locate renewal leads eligible for cross-sell/new products. Suggest converting them into new opportunities.”
,,,
