S No,Name,Check_ID,Message,Start Line,Start Col,Severity,Project,Path,Status,
1,wildcard-cors,python.fastapi.security.wildcard-cors.wildcard-cors,CORS policy allows any origin (using wildcard '*'). This is insecure and should be avoided.,,166,19,low,apps/services/ai-utility-service/src,apps/services/ai-utility-service/src/main.py,new
2,tainted-sql-string,python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",,770,23,low,apps/services/ai-utility-service/src,apps/services/ai-utility-service/src/main.py,new
3,tainted-sql-string,python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",,773,27,low,apps/services/ai-utility-service/src,apps/services/ai-utility-service/src/main.py,new
4,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,749,19,low,apps/services/ai-service,apps/services/ai-service/src/app/pdf-analyser/pdf-analyser.service.ts,new
5,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,1022,13,low,apps/services/ai-service,apps/services/ai-service/src/app/pdf-analyser/pdf-analyser.service.ts,new
6,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,1032,13,low,apps/services/ai-service,apps/services/ai-service/src/app/pdf-analyser/pdf-analyser.service.ts,new
7,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,92,9,low,apps/services/org-service,apps/services/org-service/src/app/file-upload/file-upload.service.ts,new
8,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,112,9,low,apps/services/org-service,apps/services/org-service/src/app/file-upload/file-upload.service.ts,new
9,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,151,26,low,apps/services/org-service,apps/services/org-service/src/app/master/master.repository.ts,new
10,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,173,28,low,apps/services/org-service,apps/services/org-service/src/app/master/master.repository.ts,new
11,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,368,34,low,apps/services/org-service,apps/services/org-service/src/app/master/master.repository.ts,new
12,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,381,32,low,apps/services/org-service,apps/services/org-service/src/app/master/master.repository.ts,new
13,unsafe-formatstring,javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.",,147,17,low,apps/services/config-service,apps/services/config-service/src/app/company-config/company-config.service.ts,new
