S. No,Nudge Title,Nudge,Development Prompt (for system / AI to generate action)
1,Opportunities Stuck in Early Stages,18 opportunities are stuck in Data Validation / KDM Meeting for over the expected TAT. Take action to push them forward.,"“Identify opportunities stuck in early stages (Data Validation, KDM Meeting) beyond defined TAT. Recommend actions to progress them to Mandate or RFP stages.”"
2,RFP Data Pending,10 opportunities have missing RFP data. Complete the information to avoid delays in broking slip generation.,“Fetch opportunities where RFP Data Collection or RFP Details Entry is incomplete. Suggest updating missing fields for smooth ISG and broking slip process.”
3,Quotes Not Entered,7 opportunities have broking slips generated but quotes are not yet entered. Update quotes to proceed with QCR.,“Identify opportunities where broking slip exists but quote entry is pending. Recommend entering quotes to enable QCR generation.”
4,QCR Pending,5 opportunities have pending QCR generation. Complete QCR to move opportunities into negotiation.,“Find opportunities with quotes entered but QCR not generated. Suggest generating QCR to advance the opportunity toward negotiation.”
5,Stalled Negotiations,9 opportunities are in Negotiation stage for more than 10 days. Take follow-up action.,“Locate negotiation-stage opportunities delayed beyond expected timeframe. Recommend scheduling negotiation review meetings and client follow-ups.”
6,Placement Slip Pending,6 opportunities cleared negotiation but placement slip is not created. Create the placement slip to proceed.,“Identify opportunities where Final Negotiation is completed but placement slip generation is pending. Suggest generating placement slips immediately.”
7,Premium Calculation Pending,4 opportunities require premium calculations for closure. Complete premium calculations to finalize the opportunity.,“Fetch opportunities where placement slip exists but premium calculation is pending. Recommend completing the premium calculation step.”
8,Held Cover Note Pending,3 opportunities have premium calculated but held cover note not issued. Issue cover note to avoid delays.,“Identify opportunities where premium is calculated but Held Cover Note is not issued. Prompt user to generate the held cover note.”
9,Policy Documentation Delayed,6 opportunities awaiting policy doclet / docket generation. Complete documentation for successful closure.,“Locate opportunities at Policy Doclet / Docket stage with pending documents. Suggest completing documentation for final policy issuance.”
10,Client Follow-Up Required,11 opportunities require client follow-up (last activity > 7 days). Re-engage to prevent drop-off.,“Fetch opportunities with no interaction in last 7+ days. Suggest scheduling follow-ups to maintain client engagement.”
11,High-Value Opportunities Pending Action,5 high-value opportunities (> ₹50L) require immediate updates. Prioritize for faster closure.,“Identify high-value opportunities needing attention. Recommend prioritizing updates and engaging decision makers.”
12,Opportunities Near Expected Closure Date,8 opportunities are nearing their expected closure date. Confirm status and expedite final steps.,“Find opportunities with expected closure date within next 7 days. Suggest final check-ins and accelerating pending actions.”
13,Loss Risks Identified,3 opportunities flagged at risk due to pricing or delay. Take corrective measures.,"“Locate opportunities marked as ‘at risk.’ Recommend reviewing pricing options, benefits, or engagement strategy.”"
